"Provinsi" "Kabupaten" "Kecamatan" "Status" "Warna"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "CIRACAS" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "DUREN SAWIT" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "JATINEGARA" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "KRAMATJATI" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "MAKASAR" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "MATRAMAN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "PASAR REBO" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "PULOGADUNG" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "CEMPAKA PUTIH" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "GAMBIR" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "JOHAR BARU" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "KEMAYORAN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "MENTENG" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "SAWAH BESAR" "Awas" "Red"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "SENEN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA PUSAT" "TANAH ABANG" "No_Status" "No_Status"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "CENGKARENG" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "GROGOL PETAMBURAN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "KALIDERES" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "KEBON JERUK" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "KEMBANGAN" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "PALMERAH" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "TAMANSARI" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA BARAT" "TAMBORA" "No_Status" "No_Status"
"BANTEN" "KOTA CILEGON" "CIBEBER" "Siaga" "Orange"
"BANTEN" "KOTA CILEGON" "CILEGON" "Siaga" "Orange"
"BANTEN" "KOTA CILEGON" "CITANGKIL" "Waspada" "Yellow"
"BANTEN" "KOTA CILEGON" "CIWADAN" "Waspada" "Yellow"
"BANTEN" "KOTA CILEGON" "GEROGOL" "Waspada" "Yellow"
"BANTEN" "KOTA CILEGON" "JOMBANG" "Siaga" "Orange"
"BANTEN" "KOTA CILEGON" "PULOMERAK" "Waspada" "Yellow"
"BANTEN" "KOTA CILEGON" "PURWAKARTA" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "CILANDAK" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "JAGAKARSA" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "KEBAYORAN BARU" "No_Status" "No_Status"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "KEBAYORAN LAMA" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "MAMPANGPRAPATAN" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "PANCORAN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "PASAR MINGGU" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "PESANGGRAHAN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "SETIA BUDI" "Awas" "Red"
"DKI JAKARTA" "KOTA JAKARTA SELATAN" "TEBET" "Siaga" "Orange"
